text,created_at,user,sentiment,sentiment_score
"AAPL earnings beat expectations, stock is a buy!",2025-04-17 10:00:00,user1,positive,0.9989269375801086
"Loving the new AAPL product, definitely a game-changer!",2025-04-17 11:00:00,user2,positive,0.9998407363891602
"AAPL stock looks overvalued, might sell soon.",2025-04-17 12:00:00,user3,negative,0.9985806941986084
"AAPL is killing it today, great performance!",2025-04-17 13:00:00,user4,positive,0.8954064249992371
"Mixed feelings about AAPL’s latest move, holding for now.",2025-04-17 14:00:00,user5,negative,0.9911226034164429
"AAPL stock dropping, not a good sign.",2025-04-21 10:00:00,user1,negative,0.9998014569282532
"Disappointing AAPL update, selling my shares.",2025-04-21 11:00:00,user2,negative,0.9997695088386536
"AAPL looks risky right now, I’m out.",2025-04-21 12:00:00,user3,negative,0.9984820485115051
"AAPL might recover, but I’m cautious.",2025-04-21 13:00:00,user4,negative,0.9839878082275391
"Not sure about AAPL’s future, staying neutral.",2025-04-21 14:00:00,user5,negative,0.9995582699775696
"AAPL is soaring today, great earnings report!",2025-04-22 10:00:00,user1,positive,0.9998248219490051
"Not impressed with AAPL's latest product launch, might sell my shares.",2025-04-22 11:00:00,user2,negative,0.9992198944091797
"AAPL stock looks stable, holding for now.",2025-04-22 12:00:00,user3,positive,0.9928818941116333
"Wow, AAPL just hit a new all-time high, amazing!",2025-04-22 13:00:00,user4,positive,0.9998390674591064
"Concerned about AAPL’s supply chain issues, could impact stock price.",2025-04-22 14:00:00,user5,negative,0.9916103482246399
